Transaction Date,Year,Category,Category Description,Merchant,Amount
2020-01-01,2020,Expenses,Shopping,APPLE.COM/BILL,9.99
2020-01-04,2020,Expenses,Groceries,WHOLEFDS SCP #10563,16.51
2020-01-05,2020,Expenses,Food & Drink,DUE SOUTH,26.55
2020-01-05,2020,Expenses,Health & Wellness,MMG MEDSTAR PHYSICIANS,25.0
2020-01-06,2020,Expenses,Food & Drink,KRUBA RESTAURANT,15.41
2020-01-06,2020,Expenses,Groceries,HARRIS TEETER 383,3.8
2020-01-06,2020,Expenses,Groceries,HARRIS TEETER 383,20.62
2020-01-06,2020,Expenses,Health & Wellness,CVS/PHARMACY #07102,9.1
2020-01-06,2020,Expenses,Shopping,BANANA REPUBLIC ON-LINE,-51.94
2020-01-07,2020,Expenses,Groceries,HARRIS TEETER 383,40.82
2020-01-08,2020,Expenses,Food & Drink,SUNRISE CAFE,10.76
2020-01-09,2020,Expenses,Food & Drink,SUNRISE CAFE,10.52
2020-01-10,2020,Expenses,Food & Drink,SQ *KABOB_KING,9.0
2020-01-11,2020,Expenses,Food & Drink,DUE SOUTH,19.25
2020-01-13,2020,Expenses,Food & Drink,TST* HATOBA,15.67
