Transaction Date,Year,Category,Category Description,Merchant,Amount
2020-01-01,2020,Expenses,Shopping,APPLE.COM/BILL,9.99
2020-01-04,2020,Expenses,Groceries,WHOLEFDS SCP #10563,16.51
2020-01-05,2020,Expenses,Food & Drink,DUE SOUTH,26.55
2020-01-05,2020,Expenses,Health & Wellness,MMG MEDSTAR PHYSICIANS,25.0
2020-01-06,2020,Expenses,Food & Drink,KRUBA RESTAURANT,15.41
2020-01-06,2020,Expenses,Groceries,HARRIS TEETER 383,3.8
2020-01-06,2020,Expenses,Groceries,HARRIS TEETER 383,20.62
2020-01-06,2020,Expenses,Health & Wellness,CVS/PHARMACY #07102,9.1
2020-01-06,2020,Expenses,Shopping,BANANA REPUBLIC ON-LINE,-51.94
2020-01-07,2020,Expenses,Groceries,HARRIS TEETER 383,40.82
2020-01-08,2020,Expenses,Food & Drink,SUNRISE CAFE,10.76
2020-01-09,2020,Expenses,Food & Drink,SUNRISE CAFE,10.52
2020-01-10,2020,Expenses,Food & Drink,SQ *KABOB_KING,9.0
2020-01-11,2020,Expenses,Food & Drink,DUE SOUTH,19.25
2020-01-13,2020,Expenses,Food & Drink,TST* HATOBA,15.67
2020-01-13,2020,Expenses,Health & Wellness,TIMOTHY A PRICE MD PC,30.0
2020-01-14,2020,Expenses,Shopping,FT MERCHANDISE,-63.33
2020-01-14,2020,Expenses,Shopping,FT MERCHANDISE,76.22
2020-01-14,2020,Expenses,Shopping,REBILL-FT MERCHANDISE,55.0
2020-01-15,2020,Expenses,Shopping,AMZN Mktp US*EO0LV6CM3,29.23
2020-01-15,2020,Expenses,Shopping,M.S.L.,15.95
2020-01-17,2020,Expenses,Food & Drink,STARBUCKS STORE 10898,4.35
2020-01-18,2020,Expenses,Groceries,BEILERS DONUTS,2.4
2020-01-19,2020,Expenses,Shopping,MARKETPLACE EVENTS,21.0
2020-01-20,2020,Expenses,Food & Drink,TST* THE BAYOU  - BETHLEH,45.36
2020-01-20,2020,Expenses,Groceries,HARRIS TEETER 383,56.06
2020-01-20,2020,Expenses,Shopping,NATIVE,31.8
2020-01-21,2020,Expenses,Groceries,HARRIS TEETER 383,21.28
2020-01-21,2020,Expenses,Groceries,WHOLEFDS SCP #10563,61.41
2020-01-21,2020,Expenses,Shopping,FT MERCHANDISE,53.9
2020-01-21,2020,Expenses,Travel,UBER   TRIP,6.53
2020-01-22,2020,Expenses,Food & Drink,KRISPY KREME 3509,1.64
2020-01-22,2020,Expenses,Groceries,HARRIS TEETER 383,13.73
2020-01-22,2020,Expenses,Health & Wellness,CVS/PHARMACY #07102,8.96
2020-01-22,2020,Expenses,Health & Wellness,TIMOTHY A PRICE MD PC,30.0
